,portfolio
2020-09-01,0.014141106236029202
2020-09-02,0.009836708300123849
2020-09-03,-0.06557241341582663
2020-09-04,-0.014476311722212143
2020-09-08,-0.06532847833112057
2020-09-09,0.04483871613012455
2020-09-10,-0.02171201773135577
2020-09-11,-0.00818960643999926
2020-09-14,0.02985895006148254
2020-09-15,0.018163300710796613
2020-09-16,-0.024197598670629965
2020-09-17,-0.016983404248784643
2020-09-18,-0.012726487428777227
2020-09-21,0.009804425506046644
2020-09-22,0.013776270760649939
2020-09-23,-0.04158615672032661
2020-09-24,0.011311818725601504
2020-09-25,0.02986162529028962
2020-09-28,0.016750538441517023
2020-09-29,0.0008607798233917783
2020-09-30,0.011992216750177228
2020-10-01,0.014955043385666512
2020-10-02,-0.03382205012283534
2020-10-05,0.026295222599753497
2020-10-06,-0.017507056706651546
2020-10-07,0.016129838616451824
2020-10-08,0.003144377037815373
2020-10-09,0.013129598766282634
2020-10-12,0.0364645079085763
2020-10-13,-0.0015574659198972047
2020-10-14,-0.004738144438182835
2020-10-15,-0.00930741900518754
2020-10-16,-0.008156183669833552
2020-10-19,-0.02153846486151774
2020-10-20,0.00652334027604309
2020-10-21,0.00292563935587139
2020-10-22,-0.002169255683642952
2020-10-23,0.007504048197607184
2020-10-26,-0.01772800096990889
2020-10-27,0.015039311037837738
2020-10-28,-0.04790933227846517
2020-10-29,0.024870197597669255
2020-10-30,-0.03255371000420468
2020-11-02,0.00330866506219552
2020-11-03,0.023726763860456464
2020-11-04,0.04819958782415721
2020-11-05,0.0272543868491318
2020-11-06,0.0027995308994068374
2020-11-09,-0.03174097353735548
2020-11-10,-0.028541458762672525
2020-11-11,0.026811189354309883
2020-11-12,-0.003738524575462394
2020-11-13,0.0015356546052783687
2020-11-16,0.006696898932196277
2020-11-17,0.0015868106364881408
2020-11-18,0.002583659157794052
2020-11-19,0.006801379098403798
2020-11-20,-0.013641737512494772
2020-11-23,0.00191988699335455
2020-11-24,0.01499693254926647
2020-11-25,0.010482825174082944
2020-11-27,0.007162259544211701
2020-11-30,-0.0017957359133438154
2020-12-01,0.017047826915038256
2020-12-02,0.000897946028683978
2020-12-03,-0.001252157813643144
2020-12-04,0.001462949042423972
2020-12-07,0.011474284836853256
2020-12-08,-0.0006648533895487312
2020-12-09,-0.026601437120200563
2020-12-10,0.004602801540348357
2020-12-11,-0.0016062987599820033
2020-12-14,0.009526108497219887
2020-12-15,0.009401014730695977
2020-12-16,0.0025131552055952604
2020-12-17,0.006842821979214134
2020-12-18,0.00044237602150141287
2020-12-21,-0.001819933214680229
2020-12-22,9.932220377875422e-05
2020-12-23,-0.006232770222019944
2020-12-24,0.004626433078938348
2020-12-28,0.015833307465004963
2020-12-29,-0.0014484208706680736
2020-12-30,0.0005496751726404025
2020-12-31,0.00042748845290661587
2021-01-04,-0.008930796272033047
2021-01-05,0.010177847935793165
2021-01-06,-0.024720631645168398
2021-01-07,0.03599681968591391
2021-01-08,0.011185119378679035
2021-01-11,-0.016846576546166028
2021-01-12,-0.00242051984822545
2021-01-13,0.007490876373363209
2021-01-14,-0.015627449271171583
2021-01-15,-0.008839863305070046
2021-01-19,0.016883564201713823
2021-01-20,0.0301106479539771
2021-01-21,0.01649966300587184
2021-01-22,0.0014229946215192615
2021-01-25,0.011804041766680904
2021-01-26,0.0022266748035427897
2021-01-27,-0.023630575158228292
2021-01-28,-0.002713051895826043
2021-01-29,-0.022577032521748315
2021-02-01,0.027978316086611277
2021-02-02,0.015110146861675796
2021-02-03,0.0034261299665604016
2021-02-04,0.005791813319467164
2021-02-05,0.0019286957554146371
2021-02-08,0.013125159747455527
2021-02-09,-0.004155662163823292
2021-02-10,0.0014196424205356983
2021-02-11,0.007140458327849884
2021-02-12,-0.0016886928221126753
2021-02-16,0.0006235235636817165
2021-02-17,-0.00584720584210141
2021-02-18,-0.005895151103296843
2021-02-19,-0.007559674359205227
2021-02-22,-0.030255064561044077
2021-02-23,-0.0033736709397474926
2021-02-24,0.01158216504676181
2021-02-25,-0.04598139236975033
2021-02-26,0.010832478316002118
2021-03-01,0.0279941878610112
2021-03-02,-0.020814429731025527
2021-03-03,-0.030131052548476533
2021-03-04,-0.014726571827780434
2021-03-05,0.010388961411720686
2021-03-08,-0.0392935384411066
2021-03-09,0.05767369279583647
2021-03-10,-0.0043226668759065705
2021-03-11,0.028095426557894456
2021-03-12,-0.010753613768221527
2021-03-15,0.013027648548274665
2021-03-16,0.004697848736548838
2021-03-17,0.006221807991933385
2021-03-18,-0.035399334010760154
2021-03-19,0.007376994179007462
2021-03-22,0.019254949500030188
2021-03-23,-0.002899894918556795
2021-03-24,-0.021310840519755733
2021-03-25,-0.003920844776136734
2021-03-26,0.007439262153793926
2021-03-29,0.004303948271082137
2021-03-30,-0.0029840380294897046
2021-03-31,0.02270936698477667
2021-04-01,0.019458968670017552
2021-04-05,0.0255964281590801
2021-04-06,-0.0033781407557406987
2021-04-07,0.009618631588991813
2021-04-08,0.011070846533124243
2021-04-09,0.008148495967897256
2021-04-12,0.01171495218424207
2021-04-13,0.02106488762760704
2021-04-14,-0.018803036588856077
2021-04-15,0.02356071581961573
2021-04-16,-0.002315131721892232
2021-04-19,-0.013076519415505477
2021-04-20,-0.006005968078168037
2021-04-21,0.008947834688816783
2021-04-22,-0.018725057936812107
2021-04-23,0.017459993573885144
2021-04-26,0.008049600971293543
2021-04-27,-0.006616313731053415
2021-04-28,-0.002746854298559643
2021-04-29,0.006266992320370212
2021-04-30,-0.005364748761848254
2021-05-03,-0.008304758436851056
